"Size","Time","Protocol"
100.33333333333333,0.17643580436706544,SMTP
58.142857142857146,0.8590304851531982,SMTP
91.25,0.46971599260965985,SMTP
70.83333333333333,0.4050565719604492,SMTP
152.8,11.52182149887085,SMTP
141.33333333333334,1.7793801784515382,SMTP
151.6,0.6226047277450562,SMTP
111.0,0.0,SMTP
106.25,0.3399050235748291,SMTP
98.27272727272727,0.7903563022613526,SMTP
96.0,0.5405941350119454,SMTP
114.6,0.5224255323410034,SMTP
87.0,0.792436957359314,SMTP
91.71428571428571,1.8268150091171265,SMTP
86.75,0.7762000127272173,SMTP
86.8,0.982441246509552,SMTP
78.0,0.27687448263168335,SMTP
84.28571428571429,4.196483016014099,SMTP
126.5,0.31524229049682617,SMTP
59.42857142857143,2.687345504760742,SMTP
59.42857142857143,7.040262500445048,SMTP
99.28571428571429,0.8074288368225098,SMTP
221.0,0.0,SMTP
223.0,0.0,SMTP
223.0,0.0,SMTP
223.0,0.0,SMTP
114.57142857142857,0.47986284891764325,SMTP
107.28571428571429,0.01990350087483724,SMTP
107.42857142857143,0.18084696928660074,SMTP
103.42857142857143,0.19990281263987222,SMTP
104.42857142857143,0.5943058331807455,SMTP
104.0,33.99833390929482,SMTP
104.08333333333333,33.989191272042014,SMTP
90.42857142857143,3.0509986877441406,SMTP
134.2,0.7425934672355652,SMTP
127.16666666666667,0.6827477931976318,SMTP
136.0,0.0,SMTP
74.16666666666667,0.4220731735229492,SMTP
76.14285714285714,1.3210076491038005,SMTP
79.125,0.2758492742265974,SMTP
95.625,0.4493157182421003,SMTP
116.57142857142857,1.7615136702855427,SMTP
135.5,0.13654669125874838,SMTP
134.0,0.2656993865966797,SMTP
136.25,0.14023796717325845,SMTP
136.25,0.38282402356465656,SMTP
116.85714285714286,1.9278058211008708,SMTP
135.0,0.4231993357340495,SMTP
134.75,0.138598362604777,SMTP
135.5,0.2137456734975179,SMTP
135.5,0.15867765744527182,SMTP
134.0,0.14441235860188803,SMTP
134.0,0.33889134724934894,SMTP
136.25,0.14638233184814453,SMTP
135.0,0.3021337191263835,SMTP
135.25,0.14373906453450522,SMTP
134.75,0.14393862088521323,SMTP
135.5,0.14184371630350748,SMTP
134.0,0.15183130900065103,SMTP
136.25,0.14391334851582846,SMTP
135.0,0.14491931597391763,SMTP
125.0,0.6705897450447083,SMTP
89.0,2.8101503054300943,SMTP
122.2,0.3062235116958618,SMTP
98.28571428571429,0.46985483169555664,SMTP
95.75,0.33576226234436035,SMTP
100.6,0.585539698600769,SMTP
101.2,1.3404512405395508,SMTP
122.25,0.14444231986999512,SMTP
123.75,0.15087167421976724,SMTP
124.5,0.3932223320007324,SMTP
123.25,0.1368396282196045,SMTP
123.5,0.35887670516967773,SMTP
105.8,0.489065945148468,SMTP
132.5,0.21843671798706055,SMTP
115.14285714285714,0.3942183256149292,SMTP
132.0,0.2400813102722168,SMTP
126.2,1.228393793106079,SMTP
64.0909090909091,0.31486470699310304,SMTP
127.28571428571429,0.7297624746958414,SMTP
113.6,0.7331462502479553,SMTP
104.28571428571429,0.7540816863377889,SMTP
76.5,0.6019534042903355,SMTP
77.85714285714286,0.5990320046742758,SMTP
67.4,0.25226497650146484,SMTP
116.75,0.37590527534484863,SMTP
91.14285714285714,0.18560516834259033,SMTP
313.0,0.0,SMTP
471.0,0.0,SMTP
74.875,0.4077538422175816,SMTP
75.28571428571429,0.5375471512476603,SMTP
70.84615384615384,0.4996484915415446,SMTP
95.62790697674419,1.9789070458639235,SMTP
97.28571428571429,0.854985515276591,SMTP
70.75,0.5133299827575684,SMTP
81.79310344827586,0.49162674801690237,SMTP
92.85714285714286,0.5559296607971191,SMTP
70.6,0.31725823879241943,SMTP
102.0,0.8651193380355835,SMTP
95.71428571428571,2.9316884676615396,SMTP
141.0,0.0,SMTP
110.0,0.0,SMTP
112.28571428571429,1.2505943377812703,SMTP
101.0,0.5080384810765585,SMTP
76.0,0.0,SMTP
165.0,0.0,SMTP
75.76923076923077,0.6808479229609171,SMTP
92.37931034482759,2.750141680240631,SMTP
73.28571428571429,0.47051548957824707,SMTP
104.66666666666667,0.4141995906829834,SMTP
98.0,0.40660281976064044,SMTP
104.14285714285714,1.5677605072657268,SMTP
100.4,0.19164049625396729,SMTP
121.2,0.2544555068016052,SMTP
139.0,0.0,SMTP
99.0,0.8234341485159737,SMTP
99.6,0.5446920018447073,SMTP
80.4,0.47557276487350464,SMTP
102.25,0.38702599207560223,SMTP
84.71428571428571,0.3670785029729207,SMTP
85.8,0.4100147485733032,SMTP
64.4,0.46738147735595703,SMTP
64.4,0.4952707290649414,SMTP
64.4,0.39953070878982544,SMTP
83.28571428571429,0.8895333607991537,SMTP
62.714285714285715,0.7921071847279867,SMTP
117.25,0.2789599895477295,SMTP
108.6,0.8942590355873108,SMTP
110.6,0.40194171667099,SMTP
108.8,6.201006770133972,SMTP
89.88888888888889,3.201006382703781,SMTP
233.08333333333334,10.90134072303772,SMTP
120.33333333333333,1.5352104902267456,SMTP
75.875,0.22826429775782994,SMTP
75.875,0.2317875794001988,SMTP
120.28571428571429,0.10124651590983073,SMTP
121.42857142857143,0.09018814563751221,SMTP
120.85714285714286,0.20248866081237793,SMTP
